data,close,rsi_force,rsi_oversold,rsi_overbought,rsi_above50,rsi_cross50,macd_force,macd_signal_force,macd_hist,macd_hist_dir,macd_cross,price_sma50_force,price_sma200_force,sma_trend_force,ema_short_force,golden_death_cross,ema_cross,bb_position,bb_vol_force,bb_above_upper,bb_below_lower,obv_trend_force,obv_cross,vol_force,vol_high,label
2017-04-10,14.94,0.143263,0.0,0.0,1.0,0.0,0.000902,-0.00448,0.002691,1.0,0.0,0.005641,0.027067,0.02143,0.004528,0.0,0.0,0.766248,0.075882,0.0,0.0,0.007337,0.0,-0.070681,0.0,-1
2017-04-11,14.68,0.059079,0.0,0.0,1.0,0.0,0.001356,-0.003313,0.002335,-1.0,0.0,-0.002501,0.01741,0.019909,0.004503,0.0,0.0,0.486885,0.071981,0.0,0.0,0.007495,0.0,-0.045151,0.0,-1
2017-04-12,14.65,0.049477,0.0,0.0,1.0,0.0,0.001613,-0.002328,0.001971,-1.0,0.0,-0.003395,0.015436,0.01883,0.004292,0.0,0.0,0.432555,0.075489,0.0,0.0,0.005344,0.0,0.012278,0.0,-1
2017-04-13,14.08,-0.114756,0.0,0.0,0.0,-1.0,0.000232,-0.001816,0.001024,-1.0,0.0,-0.022596,-0.005337,0.01726,0.002016,0.0,0.0,-0.071531,0.061779,0.0,0.0,0.00131,0.0,0.029059,0.0,0
2017-04-17,14.28,-0.052518,0.0,0.0,0.0,0.0,-0.000306,-0.001514,0.000604,-1.0,0.0,-0.015043,0.000824,0.015867,0.001042,0.0,0.0,0.058127,0.012262,0.0,0.0,0.000611,0.0,0.071138,0.0,0
2017-04-18,14.1,-0.101157,0.0,0.0,0.0,0.0,-0.001224,-0.001456,0.000116,-1.0,0.0,-0.020847,-0.006325,0.014524,-0.00034,0.0,-1.0,-0.140497,-0.009676,0.0,0.0,-0.002325,-1.0,0.063449,0.0,0
2017-04-19,13.6,-0.220815,0.0,0.0,0.0,0.0,-0.003335,-0.001832,-0.000752,-1.0,-1.0,-0.0377,-0.025104,0.012608,-0.003183,0.0,0.0,-0.746873,-0.075074,0.0,0.0,-0.006778,0.0,0.016661,0.0,1
2017-04-20,13.88,-0.130087,0.0,0.0,0.0,0.0,-0.004178,-0.002301,-0.000939,-1.0,0.0,-0.026784,-0.015627,0.011162,-0.004166,0.0,0.0,-0.461457,-0.091058,0.0,0.0,-0.008629,0.0,-0.146795,0.0,0
2017-04-24,14.03,-0.083626,0.0,0.0,0.0,0.0,-0.004371,-0.002715,-0.000828,1.0,0.0,-0.020956,-0.010979,0.009979,-0.004244,0.0,0.0,-0.337234,-0.123418,0.0,0.0,-0.008454,0.0,-0.152958,0.0,0
2017-04-25,14.34,0.007216,0.0,0.0,1.0,1.0,-0.003594,-0.002891,-0.000352,1.0,0.0,-0.009511,-0.000932,0.008579,-0.003065,0.0,0.0,-0.014382,-0.182577,0.0,0.0,-0.006466,0.0,-0.076366,0.0,0
2017-04-26,14.0,-0.08353,0.0,0.0,0.0,-1.0,-0.003907,-0.003094,-0.000407,-1.0,0.0,-0.020787,-0.013711,0.007078,-0.003418,0.0,0.0,-0.517341,-0.202239,0.0,0.0,-0.006881,0.0,-0.010816,0.0,1
2017-04-27,13.73,-0.149093,0.0,0.0,0.0,0.0,-0.004878,-0.003451,-0.000714,-1.0,0.0,-0.02925,-0.024168,0.005085,-0.004622,0.0,0.0,-0.848953,-0.179807,0.0,0.0,-0.008711,0.0,-0.120765,0.0,1
2017-04-28,13.97,-0.075445,0.0,0.0,0.0,0.0,-0.004903,-0.003741,-0.000581,1.0,0.0,-0.019456,-0.016223,0.003234,-0.00451,0.0,0.0,-0.477128,-0.167528,0.0,0.0,-0.008315,0.0,-0.080052,0.0,1
2017-05-02,13.99,-0.069295,0.0,0.0,0.0,0.0,-0.00481,-0.003955,-0.000428,1.0,0.0,-0.01748,-0.016136,0.001344,-0.004269,0.0,0.0,-0.413224,-0.158799,0.0,0.0,-0.005848,0.0,0.014999,0.0,1
2017-05-03,14.16,-0.016101,0.0,0.0,0.0,0.0,-0.004197,-0.004004,-9.7e-05,1.0,0.0,-0.010282,-0.010705,-0.000424,-0.003374,-1.0,0.0,-0.168354,-0.159414,0.0,0.0,-0.001839,0.0,0.01866,0.0,1
